name,area,avg_household_size,cars_per_apartment,cars_per_house,M_median_age,F_median_age,median_income,median_rent,F_never_married,M_never_married,born_in_state,born_out_state,speak_poor_english,foriegn_born,married,with_mortgage,single_mothers,population,male_population,female_population,address,coords,lat,lon
"Accent neighborhood in Des Moines, IA",0.840,2.6,1.8,1.8,35.1,37.4,48749,740,15.2,20.2,75.3,16.3,2.2,0.7,37.9,71.2,15.4,4,2421,2459,"Accent,Des Moines, IA","(None, None)",,
"Airport Crossroads neighborhood in Des Moines, IA",0.061,,,,,,,,,,,,,,,,,,,,"Airport Crossroads,Des Moines, IA","(None, None)",,
"Airport Heights neighborhood in Des Moines, IA",0.008,,,,,,,,,,,,,,,,,,,,"Airport Heights,Des Moines, IA","(None, None)",,
"Allen (Bloomfield) neighborhood in Des Moines, IA",5.462,2.7,1.8,2.1,33.1,38.1,57714,829,9.1,17.9,70.4,22.7,0.7,0.8,59.5,74.5,3.5,6,3507,3283,"Allen (Bloomfield),Des Moines, IA","(None, None)",,
"Allen Park neighborhood in Des Moines, IA",0.001,2.4,0.9,2.0,21.2,20.1,20852,541,25.8,27.3,51.0,26.4,12.5,2.2,9.5,78.3,35.2,9,4,4,"Allen Park,Des Moines, IA","(41.57900165, -93.6065990874525)",41.57900165,-93.6065990874525
"Alta Vista neighborhood in Des Moines, IA",0.002,4.4,2.5,2.1,26.0,29.3,40593,819,15.0,15.7,66.4,14.9,6.7,0.5,48.0,61.7,16.6,17,8,9,"Alta Vista,Des Moines, IA","(None, None)",,
"Andy's Place neighborhood in Des Moines, IA",0.006,2.5,2.1,2.0,29.5,41.7,47552,983,4.8,16.8,63.0,16.0,3.2,2.2,35.3,70.0,25.8,33,16,17,"Andy's Place,Des Moines, IA","(None, None)",,
"Apple Valley neighborhood in Des Moines, IA",0.073,2.4,1.4,1.7,31.1,32.6,46364,912,12.5,21.0,65.0,29.2,0.7,0.0,34.9,81.7,15.6,194,100,94,"Apple Valley,Des Moines, IA","(None, None)",,
"Arbor Peaks neighborhood in Des Moines, IA",0.269,2.1,1.1,1.9,32.3,34.7,38378,762,19.8,19.9,57.7,34.5,0.9,3.7,28.4,59.3,101.9,1,524,608,"Arbor Peaks,Des Moines, IA","(None, None)",,
"Arthur Avenue Heights neighborhood in Des Moines, IA",0.011,3.0,1.8,2.0,37.4,35.9,49743,683,19.4,15.5,71.8,17.9,0.0,0.7,45.1,68.3,5.7,15,7,8,"Arthur Avenue Heights,Des Moines, IA","(41.61617, -93.546079)",41.61617,-93.546079
"Ashawa Estates neighborhood in West Des Moines, IA",0.091,2.3,1.8,2.2,40.2,45.8,79797,943,14.2,16.5,71.7,22.2,0.3,0.9,53.6,68.5,9.8,414,215,198,"Ashawa Estates,West Des Moines, IA","(None, None)",,
"Ashbrook neighborhood in Des Moines, IA",0.125,16.5,1.1,2.2,28.7,42.7,43283,694,15.4,21.8,51.9,18.0,14.8,1.3,32.8,61.7,8.2,557,276,281,"Ashbrook,Des Moines, IA","(None, None)",,
"Ashby Manor neighborhood in Des Moines, IA",0.014,21.0,1.1,1.7,38.2,44.6,60223,609,14.3,18.8,69.5,27.8,0.0,0.0,40.2,67.0,9.3,57,28,28,"Ashby Manor,Des Moines, IA","(41.624968, -93.667052)",41.624968,-93.667052
"Ashby Woods neighborhood in Des Moines, IA",0.028,21.0,1.1,1.7,38.2,44.6,60223,609,14.3,18.8,69.5,27.8,0.0,0.0,40.2,67.0,9.2,113,57,55,"Ashby Woods,Des Moines, IA","(None, None)",,
