area,avg_size,cars_per_apartment,cars_per_house,median_age_males,median_females,median_income,median_rent,mf_pop,never_married_females_over_15,never_married_males_over_15,percent_born_in _state,percent_born_in_other_state,percent_do_not_speak_english_well,percent_foreign_born,percent_married,percent_mortgage,percent_single_mothers,population
Area: 0.840 square miles,Average household size:Accent:2.6 peopleDes Moines:2.5 people,Here:1.8city:1.3,This neighborhood:1.8Des Moines:2.0,Median age:Males:This neighborhood:35.1 yearsWhole city:33.1 years,Females:This neighborhood:37.4 yearsWhole city:35.7 years,"Accent:$48,749Des Moines:$49,203",Accent:$740Des Moines:$690,"Males:2,421Females:2,459",Accent:15.2%city:18.9%,Accent:20.2%Des Moines:21.7%,Here:75.3%Des Moines:66.5%,Accent:16.3%Des Moines:20.3%,Accent:2.2%Des Moines:4.7%,Here:0.7%city:1.0%,Here:37.9%Des Moines:36.2%,Accent:71.2%Des Moines:69.8%,Accent:15.4%Des Moines:13.8%,"Population: 4,881"
Area: 0.061 square miles,,,,,,,,,,,,,,,,,,
Area: 0.008 square miles,,,,,,,,,,,,,,,,,,
Area: 5.462 square miles,Average household size:Allen (Bloomfield):2.7 peopleDes Moines:2.5 people,Here:1.8city:1.3,This neighborhood:2.1Des Moines:2.0,Median age:Males:This neighborhood:33.1 yearsWhole city:33.1 years,Females:This neighborhood:38.1 yearsWhole city:35.7 years,"Allen (Bloomfield):$57,714Des Moines:$49,203",Allen (Bloomfield):$829Des Moines:$690,"Males:3,507Females:3,283",Allen (Bloomfield):9.1%city:18.9%,Allen (Bloomfield):17.9%Des Moines:21.7%,Here:70.4%Des Moines:66.5%,Allen (Bloomfield):22.7%Des Moines:20.3%,Allen (Bloomfield):0.7%Des Moines:4.7%,Here:0.8%city:1.0%,Here:59.5%Des Moines:36.2%,Allen (Bloomfield):74.5%Des Moines:69.8%,Allen (Bloomfield):3.5%Des Moines:13.8%,"Population: 6,791"
Area: 0.001 square miles,Average household size:Allen Park:2.4 peopleDes Moines:2.5 people,Here:0.9city:1.3,This neighborhood:2.0Des Moines:2.0,Median age:Males:This neighborhood:21.2 yearsWhole city:33.1 years,Females:This neighborhood:20.1 yearsWhole city:35.7 years,"Allen Park:$20,852Des Moines:$49,203",Allen Park:$541Des Moines:$690,Males:4Females:4,Allen Park:25.8%city:18.9%,Allen Park:27.3%Des Moines:21.7%,Here:51.0%Des Moines:66.5%,Allen Park:26.4%Des Moines:20.3%,Allen Park:12.5%Des Moines:4.7%,Here:2.2%city:1.0%,Here:9.5%Des Moines:36.2%,Allen Park:78.3%Des Moines:69.8%,Allen Park:35.2%Des Moines:13.8%,Population: 9
Area: 0.002 square miles,Average household size:Alta Vista:4.4 peopleDes Moines:2.5 people,Here:2.5city:1.3,This neighborhood:2.1Des Moines:2.0,Median age:Males:This neighborhood:26.0 yearsWhole city:33.1 years,Females:This neighborhood:29.3 yearsWhole city:35.7 years,"Alta Vista:$40,593Des Moines:$49,203",Alta Vista:$819Des Moines:$690,Males:8Females:9,Alta Vista:15.0%city:18.9%,Alta Vista:15.7%Des Moines:21.7%,Here:66.4%Des Moines:66.5%,Alta Vista:14.9%Des Moines:20.3%,Alta Vista:6.7%Des Moines:4.7%,Here:0.5%city:1.0%,Here:48.0%Des Moines:36.2%,Alta Vista:61.7%Des Moines:69.8%,Alta Vista:16.6%Des Moines:13.8%,Population: 17
Area: 0.006 square miles,Average household size:Andy's Place:2.5 peopleDes Moines:2.5 people,Here:2.1city:1.3,This neighborhood:2.0Des Moines:2.0,Median age:Males:This neighborhood:29.5 yearsWhole city:33.1 years,Females:This neighborhood:41.7 yearsWhole city:35.7 years,"Andy's Place:$47,552Des Moines:$49,203",Andy's Place:$983Des Moines:$690,Males:16Females:17,Andy's Place:4.8%city:18.9%,Andy's Place:16.8%Des Moines:21.7%,Here:63.0%Des Moines:66.5%,Andy's Place:16.0%Des Moines:20.3%,Andy's Place:3.2%Des Moines:4.7%,Here:2.2%city:1.0%,Here:35.3%Des Moines:36.2%,Andy's Place:70.0%Des Moines:69.8%,Andy's Place:25.8%Des Moines:13.8%,Population: 33
Area: 0.073 square miles,Average household size:Apple Valley:2.4 peopleDes Moines:2.5 people,Here:1.4city:1.3,This neighborhood:1.7Des Moines:2.0,Median age:Males:This neighborhood:31.1 yearsWhole city:33.1 years,Females:This neighborhood:32.6 yearsWhole city:35.7 years,"Apple Valley:$46,364Des Moines:$49,203",Apple Valley:$912Des Moines:$690,Males:100Females:94,Apple Valley:12.5%city:18.9%,Apple Valley:21.0%Des Moines:21.7%,Here:65.0%Des Moines:66.5%,Apple Valley:29.2%Des Moines:20.3%,Apple Valley:0.7%Des Moines:4.7%,Here:0.0%city:1.0%,Here:34.9%Des Moines:36.2%,Apple Valley:81.7%Des Moines:69.8%,Apple Valley:15.6%Des Moines:13.8%,Population: 194
Area: 0.269 square miles,Average household size:Arbor Peaks:2.1 peopleDes Moines:2.5 people,Here:1.1city:1.3,This neighborhood:1.9Des Moines:2.0,Median age:Males:This neighborhood:32.3 yearsWhole city:33.1 years,Females:This neighborhood:34.7 yearsWhole city:35.7 years,"Arbor Peaks:$38,378Des Moines:$49,203",Arbor Peaks:$762Des Moines:$690,Males:524Females:608,Arbor Peaks:19.8%city:18.9%,Arbor Peaks:19.9%Des Moines:21.7%,Here:57.7%Des Moines:66.5%,Arbor Peaks:34.5%Des Moines:20.3%,Arbor Peaks:0.9%Des Moines:4.7%,Here:3.7%city:1.0%,Here:28.4%Des Moines:36.2%,Arbor Peaks:59.3%Des Moines:69.8%,Arbor Peaks:101.9%Des Moines:13.8%,"Population: 1,133"
Area: 0.011 square miles,Average household size:Arthur Avenue Heights:3.0 peopleDes Moines:2.5 people,Here:1.8city:1.3,This neighborhood:2.0Des Moines:2.0,Median age:Males:This neighborhood:37.4 yearsWhole city:33.1 years,Females:This neighborhood:35.9 yearsWhole city:35.7 years,"Arthur Avenue Heights:$49,743Des Moines:$49,203",Arthur Avenue Heights:$683Des Moines:$690,Males:7Females:8,Arthur Avenue Heights:19.4%city:18.9%,Arthur Avenue Heights:15.5%Des Moines:21.7%,Here:71.8%Des Moines:66.5%,Arthur Avenue Heights:17.9%Des Moines:20.3%,Arthur Avenue Heights:0.0%Des Moines:4.7%,Here:0.7%city:1.0%,Here:45.1%Des Moines:36.2%,Arthur Avenue Heights:68.3%Des Moines:69.8%,Arthur Avenue Heights:5.7%Des Moines:13.8%,Population: 15
